team	season	competition	number	name	position	games_played	goals	assists	points	nationality
Atlanta Chiefs	1980	North American Soccer League	9	Jeff Bourne	F	19	5	5	15	England
Atlanta Chiefs	1980	North American Soccer League	10	David Byrne	F	23	1	6	8	England
Atlanta Chiefs	1980	North American Soccer League	11	Olivier Barthou	F	10	1	1	3	France
Atlanta Chiefs	1980	North American Soccer League	11	David Irving	F	11	2	2	6	England
Atlanta Chiefs	1980	North American Soccer League	12	Carl Strong	M	28	1	3	5	USA
Atlanta Chiefs	1980	North American Soccer League	14	George Nanchoff	F	21	2	2	6	Yugoslavia/USA
Atlanta Chiefs	1980	North American Soccer League	15	Pat McMahon	M	12	0	1	1	Scotland
Atlanta Chiefs	1980	North American Soccer League	16	Adrian Brooks	F	1	0	0	0	England
Atlanta Chiefs	1980	North American Soccer League	16	Keith Furphy	F	26	8	5	21	England
Atlanta Chiefs	1980	North American Soccer League	18	Trevor Franklin	D	13	0	3	3	England/USA
Atlanta Chiefs	1980	North American Soccer League	20	Webster Lichaba	M	32	2	2	6	South Africa
Atlanta Chiefs	1980	North American Soccer League	22	Bill Mishalow	G	11	0	0	0	USA
Atlanta Chiefs	1980	North American Soccer League	22	Victor Nogueira	G	5	0	0	0	Mozambique
Atlanta Chiefs	1980	North American Soccer League	23	Tommy Ord	F	9	1	1	3	England
Atlanta Chiefs	1980	North American Soccer League	24	Lou Nagy	F	3	0	0	0	Canada
Atlanta Chiefs	1980	North American Soccer League	26	Walker McCall	F	14	2	1	5	Scotland
Atlanta Chiefs	1980	North American Soccer League	27	Lou Cioffi	G	16	0	0	0	USA
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	0	Graham Tutt	G	4	 	 	 	England
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	2	Bruce Savage	D	18	3	6	12	USA
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	4	Tony Whelan	D	16	5	15	25	England
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	5	Branko Radovic	D	16	0	3	3	Yugoslavia
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	6	Bobby Arber	D	18	0	5	5	England
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	7	Lawrence Chelin	M	4	0	2	2	South Africa
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	8	Brian Alderson	M	16	15	15	45	Scotland
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	9	Paul Child	F	15	13	5	31	England
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	10	David Byrne	F	16	14	9	37	England
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	12	Carl Strong	M	1	0	0	0	USA
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	13	Michael Collins	 	6	0	1	1	USA
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	16	Keith Furphy	F	18	32	12	76	England
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	18	Trevor Franklin	D	17	3	4	10	England/USA
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	19	Miguel Avila	F	17	5	12	22	USA
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	20	Webster Lichaba	M	3	1	0	2	South Africa
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	21	Ken Mokgojoa	F	10	4	2	10	South Africa
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	23	Tommy Ord	F	5	0	4	4	England
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	27	Lou Cioffi	G	16	 	 	 	USA
Atlanta Chiefs	1980-1981	North American Soccer League (indoor)	 	Malcolm Filby	 	4	1	1	3	 
Atlanta Chiefs	1981	North American Soccer League	0	Graham Tutt	G	32	0	0	0	England
Atlanta Chiefs	1981	North American Soccer League	2	Bruce Savage	D	32	0	2	2	USA
Atlanta Chiefs	1981	North American Soccer League	3	Mark MacKain	D	 	 	 	0	USA
Atlanta Chiefs	1981	North American Soccer League	4	Tony Whelan	D	32	1	2	4	England
Atlanta Chiefs	1981	North American Soccer League	5	Branko Radovic	D	10	0	0	0	Yugoslavia
Atlanta Chiefs	1981	North American Soccer League	6	Bobby Arber	D	15	0	1	1	England
Atlanta Chiefs	1981	North American Soccer League	7	Lawrence Chelin	M	24	1	6	8	South Africa
Atlanta Chiefs	1981	North American Soccer League	8	Brian Alderson	M	32	5	13	23	Scotland
Atlanta Chiefs	1981	North American Soccer League	9	Paul Child	F	31	13	8	34	England
Atlanta Chiefs	1981	North American Soccer League	10	David Byrne	F	28	3	8	14	England
Atlanta Chiefs	1981	North American Soccer League	12	Carl Strong	M	32	1	5	7	USA
Atlanta Chiefs	1981	North American Soccer League	14	Don Droege	D	31	2	3	7	USA
Atlanta Chiefs	1981	North American Soccer League	15	Danny Payne	M	9	0	1	1	USA
Atlanta Chiefs	1981	North American Soccer League	16	Keith Furphy	F	31	9	8	26	England
Atlanta Chiefs	1981	North American Soccer League	18	Trevor Franklin	D	2	0	0	0	England/USA
Atlanta Chiefs	1981	North American Soccer League	19	Hayden Knight	F	9	0	0	0	Trinidad/USA
Atlanta Chiefs	1981	North American Soccer League	20	Webster Lichaba	M	31	2	9	13	South Africa
Atlanta Chiefs	1981	North American Soccer League	21	Ken Mokgojoa	F	5	0	0	0	South Africa
Atlanta Chiefs	1981	North American Soccer League	22	Brian Kidd	F	27	22	8	52	England
Atlanta Chiefs	1981	North American Soccer League	22	Victor Nogueira	G	 	 	 	 	Mozambique
Atlanta Chiefs	1981	North American Soccer League	27	Lou Cioffi	G	1	3	0	6	USA
Baltimore Bays	1967	North American Soccer League	1	Halis Alkis	G	1	0	0	0	Turkey
Baltimore Bays	1967	North American Soccer League	1	Dennis Connaghan	G	7	0	0	0	Scotland
Baltimore Bays	1967	North American Soccer League	2	Zemaria	D	12	0	0	0	Brazil
Baltimore Bays	1967	North American Soccer League	3	Uriel da Veiga	D	9	2	2	6	Brazil
Baltimore Bays	1967	North American Soccer League	4	David Primo	D	11	0	1	1	Bulgaria
Baltimore Bays	1967	North American Soccer League	5	Badu DaCruz	D	16	4	2	10	Brazil
Baltimore Bays	1967	North American Soccer League	6	Dennis Viollet	M	12	4	1	9	England
Baltimore Bays	1967	North American Soccer League	7	Juan Santisteban	M	18	2	7	11	Spain
Baltimore Bays	1967	North American Soccer League	8	Art Welch	F	18	5	5	15	Jamaica
Baltimore Bays	1967	North American Soccer League	9	Fernando Azevedo	F	15	8	4	20	Brazil
Baltimore Bays	1967	North American Soccer League	10	Hipolito Chilinque	F	10	4	0	8	Brazil
Baltimore Bays	1967	North American Soccer League	11	Nelio Dos Santos	M	16	3	1	7	Brazil
Baltimore Bays	1967	North American Soccer League	12	Asher Welch	F	8	1	1	3	Jamaica
Baltimore Bays	1967	North American Soccer League	13	Terry Adlington	G	25	0	0	0	England
Baltimore Bays	1967	North American Soccer League	14	Hector Martinez	D	7	0	0	0	Argentina
Baltimore Bays	1967	North American Soccer League	15	Luis Mayoral	M	5	1	0	2	France
Baltimore Bays	1967	North American Soccer League	16	Gaucho Tejada	M	4	0	0	0	Argentina
Baltimore Bays	1967	North American Soccer League	17	Ruben Garcete	F	6	1	2	4	Paraguay
Baltimore Bays	1967	North American Soccer League	18	Shimon Cohen	F	15	4	2	10	Israel
Baltimore Bays	1967	North American Soccer League	19	Karl Minor	F	7	0	0	0	Germany
Baltimore Bays	1967	North American Soccer League	20	Guy St. Vil	F	15	8	2	18	Haiti
Baltimore Bays	1967	North American Soccer League	21	Joe Speca	D	11	1	1	3	USA
Baltimore Bays	1967	North American Soccer League	 22	Leif Claesson	F	4	4	1	9	Sweden
Baltimore Bays	1968	North American Soccer League	1	Lincoln Phillips	G	4	0	0	0	Trinidad
Baltimore Bays	1968	North American Soccer League	2	Zemaria	D	5	0	0	0	Brazil
Baltimore Bays	1968	North American Soccer League	3	Uriel da Veiga	D	22	2	0	4	Brazil
Baltimore Bays	1968	North American Soccer League	4	David Primo	D	23	0	0	0	Israel
Baltimore Bays	1968	North American Soccer League	5	Yeo Kankam	M	5	1	0	2	Ghana
Baltimore Bays	1968	North American Soccer League	6	Dennis Viollet	M	22	3	0	6	England
Baltimore Bays	1968	North American Soccer League	7	Juan Santisteban	M	21	0	0	0	Spain
Baltimore Bays	1968	North American Soccer League	8	Art Welch	F	13	6	8	20	Jamaica
Baltimore Bays	1968	North American Soccer League	9	Orlando Rijzenburg	F	8	0	0	0	Surinam
Baltimore Bays	1968	North American Soccer League	10	Brian Davies	F	11	1	0	2	England
Baltimore Bays	1968	North American Soccer League	11	Arcangel Lopez	F	18	7	0	14	Argentina
Baltimore Bays	1968	North American Soccer League	12	Asher Welch	F	26	4	3	11	Jamaica
Baltimore Bays	1968	North American Soccer League	14	Calixto Mendez	D	21	1	0	2	Spain
Baltimore Bays	1968	North American Soccer League	15	Wilf Tranter	D	12	2	0	4	England
Baltimore Bays	1968	North American Soccer League	15	Siegfried Haltman	 	 	 	 	 	 
Baltimore Bays	1968	North American Soccer League	16	Gaucho Tejada	D	13	0	0	0	Argentina
Baltimore Bays	1968	North American Soccer League	17	Winston Earle	D	16	0	0	0	Jamaica
Baltimore Bays	1968	North American Soccer League	18	Wilberforce Mfum	F	5	4	0	8	Ghana
Baltimore Bays	1968	North American Soccer League	18	Alexander Nikolic	F	3	1	1	3	Yugoslavia
Baltimore Bays	1968	North American Soccer League	19	Rusty Kindratiw	F	6	1	0	2	Austria/USA
Baltimore Bays	1968	North American Soccer League	20	Guy St. Vil	F	13	4	0	8	Haiti
Baltimore Bays	1968	North American Soccer League	21	Joe Speca	D	9	0	0	0	USA
Baltimore Bays	1968	North American Soccer League	22	Leif Claesson	F	8	1	0	2	Sweden
Baltimore Bays	1968	North American Soccer League	23	Carmelo Sedrun	G	23	0	0	0	Spain
Baltimore Bays	1968	North American Soccer League	24	Miguel Maliszewski	F	4	4	0	8	Argentina/USA
Baltimore Bays	1968	North American Soccer League	25	Rob Therrien	F	0	 	 	0	Canada
Baltimore Bays	1968	North American Soccer League	 	Henry Largie	D	6	0	0	0	Jamaica
Baltimore Bays	1969	North American Soccer League	1	Orest Banach	G	 	0	0	0	Germany/USA
Baltimore Bays	1969	North American Soccer League	3	John Borodiak	D	 	 	 	0	Argentina
Baltimore Bays	1969	North American Soccer League	3	Gordon Bradley	D	 	0	 	0	England
Baltimore Bays	1969	North American Soccer League	3	Miguel Padilla	D	 	 	 	0	 
Baltimore Bays	1969	North American Soccer League	4	Hector Martinez	D	 	 	 	0	Argentina
Baltimore Bays	1969	North American Soccer League	5	Brian Pillinger	D	 	 	 	0	England
Baltimore Bays	1969	North American Soccer League	7	Art Welch	F	 	5	 	10	Jamaica
Baltimore Bays	1969	North American Soccer League	8	Miguel Maliszewski	M	 	 	 	0	Argentina/USA
Baltimore Bays	1969	North American Soccer League	9	Karl Minor	F	 	 	 	0	Germany/Austria
Baltimore Bays	1969	North American Soccer League	10	Siegfried Stritzl	D	 	 	 	0	Yugoslavia/USA
Baltimore Bays	1969	North American Soccer League	11	Dietrich Albrecht	F	0	0	0	0	Germany/USA
Baltimore Bays	1969	North American Soccer League	12	Peter Millar	F	8	8	2	18	Scotland/USA
Baltimore Bays	1969	North American Soccer League	14	Tommy Wall	D	 	 	 	0	USA
Baltimore Bays	1969	North American Soccer League	 15	John Hennigan	F	 	 	 	0	USA
Baltimore Bays	1969	North American Soccer League	16	Jim Malcolm	F	 	 	 	0	USA
Baltimore Bays	1969	North American Soccer League	17	Asher Welch	F	 	 	 	0	Jamaica
Baltimore Bays	1969	North American Soccer League	18	Howard Beck	D	 	 	 	0	USA
Baltimore Bays	1969	North American Soccer League	18	Dennis Woodward	D	 	 	 	0	 
Baltimore Bays	1969	North American Soccer League	 	Mario Jelenkovich	G	 	 	 	0	USA
Baltimore Bays	1969	North American Soccer League	 	Rusty Kindratiw	F	 	 	 	0	Austria/USA
Baltimore Bays	1969	North American Soccer League	 	Paul Scardina	M	 	 	 	0	USA
Baltimore Bays	1969	North American Soccer League	 	Dave Woodward	M	 	 	 	0	USA
Baltimore Comets	1974	North American Soccer League	1	Lincoln Phillips	G	16	0	0	0	Trinidad
Baltimore Comets	1974	North American Soccer League	2	Winston Earle	D	7	0	3	3	Jamaica
Baltimore Comets	1974	North American Soccer League	3	Geoff Butler	D	18	1	9	11	England
Baltimore Comets	1974	North American Soccer League	4	Victor Gamaldo	M	18	0	0	0	Trinidad
Baltimore Comets	1974	North American Soccer League	5	Ken Hill	D	19	0	2	2	England
Baltimore Comets	1974	North American Soccer League	6	Stan Smith	M	18	0	0	0	Bermuda/Trinidad
Baltimore Comets	1974	North American Soccer League	7	Zlatko Tripkovic	M	10	0	4	4	Yugoslavia
Baltimore Comets	1974	North American Soccer League	8	Alvin Henderson	D	17	7	6	20	Trinidad
Baltimore Comets	1974	North American Soccer League	9	Frank Large	F	17	9	2	20	England
Baltimore Comets	1974	North American Soccer League	10	Peter Silvester	F	18	14	4	32	England
Baltimore Comets	1974	North American Soccer League	11	Keith Aqui	F	19	5	7	17	Trinidad
Baltimore Comets	1974	North American Soccer League	12	Paul Scurti	F	18	0	1	1	Italy/USA
Baltimore Comets	1974	North American Soccer League	13	Dennis Wit	M	9	0	2	2	USA
Baltimore Comets	1974	North American Soccer League	14	Hank Kazmierski	F	11	4	1	9	USA
Baltimore Comets	1974	North American Soccer League	15	John Gribbin	D	6	0	0	0	USA
Baltimore Comets	1974	North American Soccer League	16	Alan Mayer	G	8	0	0	0	USA
Baltimore Comets	1974	North American Soccer League	17	William Loehr	D	1	0	0	0	USA
Baltimore Comets	1974	North American Soccer League	18	Terry Anderson	M	17	0	4	4	England
Baltimore Comets	1975	North American Soccer League	1	Lincoln Phillips	G	5	0	0	0	Trinidad
Baltimore Comets	1975	North American Soccer League	2	Winston Earle	D	8	0	1	1	Jamaica
Baltimore Comets	1975	North American Soccer League	3	Geoff Butler	D	22	1	5	7	England
Baltimore Comets	1975	North American Soccer League	4	Chris Simpkin	D	22	1	0	2	England
Baltimore Comets	1975	North American Soccer League	5	John Napier	D	22	1	1	3	Ireland
Baltimore Comets	1975	North American Soccer League	6	Stan Smith	M	19	0	0	0	Bermuda/Trinidad
Baltimore Comets	1975	North American Soccer League	7	Guy St. Vil	F	6	0	0	0	Haiti
Baltimore Comets	1975	North American Soccer League	8	Alvin Henderson	F	19	9	1	19	Trinidad
Baltimore Comets	1975	North American Soccer League	9	Alan Gilliver	F	5	0	0	0	England
Baltimore Comets	1975	North American Soccer League	9	Dennis Hresko	F	1	0	0	0	 
Baltimore Comets	1975	North American Soccer League	10	Peter Silvester	F	19	5	7	17	England
Baltimore Comets	1975	North American Soccer League	11	Keith Aqui	F	20	10	3	23	Trinidad
Baltimore Comets	1975	North American Soccer League	12	Paul Scurti	F	10	0	2	2	Italy/USA
Baltimore Comets	1975	North American Soccer League	13	Dennis Wit	M	19	2	1	5	USA
Baltimore Comets	1975	North American Soccer League	14	Hank Kazmierski	F	18	2	3	7	USA
Baltimore Comets	1975	North American Soccer League	15	Ernie Cox	M	9	0	0	0	USA
Baltimore Comets	1975	North American Soccer League	16	Alan Mayer	G	19	0	0	0	USA
Baltimore Comets	1975	North American Soccer League	17	Len Renery	D	20	1	0	2	England/USA
Baltimore Comets	1975	North American Soccer League	18	Terry Anderson	M	19	0	1	1	England
Boston Beacons	1968	North American Soccer League	1	Jorgen Henriksen	G	16	0	 	0	Denmark
Boston Beacons	1968	North American Soccer League	2	Patrick Mulligan	M	21	4	 	8	Ireland
Boston Beacons	1968	North American Soccer League	3	Tom Kelly	D	29	0	 	0	Ireland
Boston Beacons	1968	North American Soccer League	4	John Peterson	M	12	0	 	0	Denmark
Boston Beacons	1968	North American Soccer League	5	David Pugh	M	32	2	 	4	Ireland
Boston Beacons	1968	North American Soccer League	6	John Milner	D	31	2	 	4	England
Boston Beacons	1968	North American Soccer League	7	John Liposinovic	F	19	4	 	8	Yugoslavia
Boston Beacons	1968	North American Soccer League	8	John Olsen	F	15	2	 	4	Denmark
Boston Beacons	1968	North American Soccer League	9	Erik Dyreborg	F	29	13	 	26	Denmark
Boston Beacons	1968	North American Soccer League	10	Luis Mayoral	M	5	0	 	0	Spain
Boston Beacons	1968	North American Soccer League	10	George Mugosa	M	6	0	 	0	Yugoslavia
Boston Beacons	1968	North American Soccer League	11	Orlando Rijzenburg	F	7	2	 	4	Surinam
Boston Beacons	1968	North American Soccer League	11	Dennis Ziadie	F	3	0	 	0	Jamaica
Boston Beacons	1968	North American Soccer League	12	Lesburn Brown	D	3	0	 	0	Jamaica
Boston Beacons	1968	North American Soccer League	13	Jorge Miguel	F	32	0	 	0	Brazil
Boston Beacons	1968	North American Soccer League	14	Yelmer Ketema	F	5	1	 	2	Ethiopia
Boston Beacons	1968	North American Soccer League	14	Lloyd McLean	F	4	0	 	0	Jamaica
Boston Beacons	1968	North American Soccer League	15	Henning Boel	M	3	0	 	0	Denmark
Boston Beacons	1968	North American Soccer League	15	Brian Davies	F	1	1	 	2	England
Boston Beacons	1968	North American Soccer League	16	William Fraser	F	32	5	 	10	Scotland
Boston Beacons	1968	North American Soccer League	17	Hector Ruben Sosa	F	17	7	8	22	Argentina
Boston Beacons	1968	North American Soccer League	18	Orest Banach	G	1	0	 	0	Germany/USA
Boston Beacons	1968	North American Soccer League	18	Walter Tarnawski	G	7	0	 	0	USSR/Argentina
Boston Beacons	1968	North American Soccer League	19	Mladen Popovic	M	16	0	 	0	Yugoslavia
Boston Beacons	1968	North American Soccer League	19	Peter Simpson	D	2	0	 	0	England
Boston Beacons	1968	North American Soccer League	20	Tony Gulin	F	25	5	 	10	Yugoslavia
Boston Beacons	1968	North American Soccer League	21	John Kyndbol	M	9	0	 	0	Denmark
Boston Beacons	1968	North American Soccer League	21	Paul Sideropoulos	F	1	0	 	0	Greece/USA
Boston Beacons	1968	North American Soccer League	22	Charlie McCulIy	M	6	0	 	0	Scotland
Boston Minutemen	1974	North American Soccer League	1	Ian McKechnie	G	15	0	0	0	Scotland
Boston Minutemen	1974	North American Soccer League	2	Jack McManus	D	18	1	0	2	Ireland
Boston Minutemen	1974	North American Soccer League	3	Alan Wooler	D	20	0	1	1	England
Boston Minutemen	1974	North American Soccer League	4	Paddy Greenwood	D	19	4	0	8	England
Boston Minutemen	1974	North American Soccer League	5	Henning Boel	M	10	1	0	2	Denmark
Boston Minutemen	1974	North American Soccer League	6	Frank Barlow	D	20	0	2	2	England
Boston Minutemen	1974	North American Soccer League	7	Ben Brewster	D	11	0	0	0	USA
Boston Minutemen	1974	North American Soccer League	8	Dan Counce	F	11	1	0	2	USA
Boston Minutemen	1974	North American Soccer League	9	Kazimierz Frankiewicz	F	2	0	0	0	Poland
Boston Minutemen	1974	North American Soccer League	10	Igor Bachner	M	12	0	1	1	Czech/Canada
Boston Minutemen	1974	North American Soccer League	11	Carlos Metidieri	F	20	5	3	13	Brazil
Boston Minutemen	1974	North American Soccer League	12	Ade Coker	F	18	8	2	18	Nigeria
Boston Minutemen	1974	North American Soccer League	13	Manfred Eickerling	M	18	7	1	15	Germany
Boston Minutemen	1974	North American Soccer League	14	Steve Twellman	D	10	0	0	0	USA
Boston Minutemen	1974	North American Soccer League	15	Alec Papadakis	M	1	0	0	0	Greece/Canada
Boston Minutemen	1974	North American Soccer League	16	John Coyne	F	16	7	7	21	England
Boston Minutemen	1974	North American Soccer League	16	Tom Lieberman	M	0	 	 	0	 
Boston Minutemen	1974	North American Soccer League	17	Jose Soroa	M	6	0	0	0	Uruguay
Boston Minutemen	1974	North American Soccer League	18	Jan Michniewski	G	7	0	0	0	Poland
Boston Minutemen	1974	North American Soccer League	19	Tony Hateley	F	3	0	0	0	England
Boston Minutemen	1974	North American Soccer League	21	Josef Jelinek	F	14	1	5	7	Czech
Boston Minutemen	1974	North American Soccer League	 	Graham French	M	3	0	0	0	England
Boston Minutemen	1975	North American Soccer League	1	Shep Messing	G	18	0	0	0	USA
Boston Minutemen	1975	North American Soccer League	2	Bill Wilkinson	D	15	0	3	3	South Africa
Boston Minutemen	1975	North American Soccer League	3	Alan Wooler	D	22	2	5	9	England
Boston Minutemen	1975	North American Soccer League	4	Donald Welbourne	D	17	0	1	1	England
Boston Minutemen	1975	North American Soccer League	5	Henning Boel	D	17	0	1	1	Denmark
Boston Minutemen	1975	North American Soccer League	6	Josef Jacques	D	2	0	0	0	England
Boston Minutemen	1975	North American Soccer League	7	Ben Brewster	D	9	0	0	0	USA
Boston Minutemen	1975	North American Soccer League	8	Geoff Davies	F	17	6	8	20	England
Boston Minutemen	1975	North American Soccer League	9	Stephen Melledew	F	22	6	5	17	England
Boston Minutemen	1975	North American Soccer League	10	Wolfgang Suhnholz	M	21	7	6	20	Germany
Boston Minutemen	1975	North American Soccer League	11	Carlos Metidieri	F	 	 	 	0	Brazil/USA
Boston Minutemen	1975	North American Soccer League	11	Antonio Simoes	M	17	4	9	17	Portugal
Boston Minutemen	1975	North American Soccer League	12	Ade Coker	F	15	10	6	26	Nigeria
Boston Minutemen	1975	North American Soccer League	13	Eusebio	F/M	7	2	2	6	Mozambique/Portugal
Boston Minutemen	1975	North American Soccer League	14	Axel Neumann	F	12	0	1	1	Germany
Boston Minutemen	1975	North American Soccer League	14	Tim Hunter	F	 	 	 	 	Canada/USA
