Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
McTavish, Devon	DC United	DC United	Harbour View FC -- Jamaica	3/18/2008	26		CCC	Gallardo, Marcelo		
Emilio, Luciano	DC United	DC United	Harbour View FC -- Jamaica	3/18/2008	63		CCC	Carreiro, Fred		
Emilio, Luciano	DC United	DC United	Harbour View FC -- Jamaica	3/18/2008	66		CCC			
McTavish, Devon	DC United	DC United	Harbour View FC -- Jamaica	3/18/2008	68		CCC	Quaranta, Santino		
Carreiro, Fred	DC United	DC United	Harbour View FC -- Jamaica	3/18/2008	88		CCC	Quaranta, Santino		
DeRosario, Dwayne	Houston Dynamo	Houston Dynamo	CSD Municipal -- Guatemala	3/19/2008	47		CCC			
DeRosario, Dwayne	Houston Dynamo	Houston Dynamo	CSD Municipal -- Guatemala	3/19/2008	69	Penalty	CCC			
Wondolowski, Chris	Houston Dynamo	Houston Dynamo	CSD Municipal -- Guatemala	3/19/2008	75		CCC	Ashe, Cory		
Dyachenko, Rod	DC United	DC United	Pachuca-- Mexico	4/9/2008	85		CCC			
Niell, Franco	DC United	DC United	Pachuca-- Mexico	4/9/2008	90		CCC			
Noel, Fabrice	Puerto Rico Islanders - USL	Puerto Rico Islanders - USL	San Juan Jabloteh -- T & T	5/9/2008	9		CQ			
