,"id","nm","makecoef.2500.","makecoef.5000.","makecoef.10000.","makecoef.20000.","makecoef.40000.","makecoef.80000."
297,409,"jorge-rojas",-0.06,-0.06,-0.04,-0.03,-0.02,-0.01
327,73,"cory-gibbs",-0.06,-0.05,-0.04,-0.03,-0.02,-0.01
284,404,"cj-brown",-0.16,-0.1,-0.06,-0.03,-0.02,-0.01
424,915,"alfredo-pacheco",-0.1,-0.08,-0.05,-0.03,-0.02,-0.01
110,297,"adrian-serioux",-0.14,-0.09,-0.05,-0.03,-0.02,-0.01
398,840,"brad-knighton",-0.18,-0.1,-0.06,-0.03,-0.02,-0.01
662,255,"javier-martina",-0.07,-0.06,-0.05,-0.03,-0.02,-0.01
34,137,"jack-jewsbury",-0.05,-0.04,-0.04,-0.03,-0.03,-0.02
483,93,"julian-de-guzman",-0.11,-0.07,-0.05,-0.03,-0.02,-0.01
440,677,"kevin-burns",-0.16,-0.1,-0.06,-0.03,-0.02,-0.01
667,62,"camilo-sanvezzo",-0.06,-0.05,-0.04,-0.03,-0.02,-0.01
455,290,"peter-lowry",-0.2,-0.12,-0.07,-0.04,-0.02,-0.01
661,91,"nick-soolsma",-0.11,-0.08,-0.05,-0.04,-0.02,-0.01
401,276,"freddie-ljungberg",-0.15,-0.1,-0.06,-0.04,-0.02,-0.01
597,828,"pablo-hernandez",-0.16,-0.09,-0.06,-0.04,-0.02,-0.01
225,451,"eric-denton",-0.11,-0.08,-0.06,-0.04,-0.02,-0.01
619,662,"dilly-duka",-0.2,-0.12,-0.07,-0.04,-0.02,-0.01
373,876,"santiago-hirsig",-0.21,-0.12,-0.07,-0.04,-0.02,-0.01
219,481,"troy-roberts",-0.19,-0.11,-0.07,-0.04,-0.02,-0.01
200,602,"kelly-gray",-0.15,-0.1,-0.06,-0.04,-0.02,-0.01
695,686,"franco-coria",-0.19,-0.11,-0.06,-0.04,-0.02,-0.01
738,105,"benny-feilhaber",-0.13,-0.09,-0.06,-0.04,-0.02,-0.01
179,283,"danleigh-borman",0.02,-0.02,-0.04,-0.04,-0.03,-0.02
495,282,"michael-orozco",-0.1,-0.08,-0.06,-0.04,-0.02,-0.01
589,754,"bobby-shuttleworth",-0.16,-0.11,-0.06,-0.04,-0.02,-0.01
78,302,"dema-kovalenko",-0.21,-0.13,-0.08,-0.04,-0.02,-0.01
621,705,"salvatore-zizzo",-0.19,-0.11,-0.07,-0.04,-0.02,-0.01
553,120,"dan-gargan",-0.17,-0.1,-0.06,-0.04,-0.03,-0.02
161,198,"kevin-goldthwaite",-0.09,-0.07,-0.05,-0.04,-0.03,-0.02
94,430,"marco-velez",-0.18,-0.11,-0.07,-0.04,-0.02,-0.01
162,806,"jon-conway",-0.11,-0.09,-0.06,-0.04,-0.02,-0.01
665,781,"wes-knight",-0.24,-0.14,-0.07,-0.04,-0.02,-0.01
118,447,"ante-razov",-0.3,-0.16,-0.08,-0.04,-0.02,-0.01
168,720,"joe-cannon",-0.09,-0.06,-0.05,-0.04,-0.03,-0.02
524,870,"christian-castillo-martinez",-0.2,-0.12,-0.07,-0.04,-0.02,-0.01
149,423,"rohan-ricketts",-0.19,-0.12,-0.07,-0.04,-0.02,-0.01
209,368,"tyrone-marshall",-0.17,-0.12,-0.07,-0.04,-0.02,-0.01
385,243,"rodney-wallace",-0.17,-0.1,-0.07,-0.04,-0.03,-0.02
142,271,"jaime-moreno",-0.13,-0.1,-0.07,-0.04,-0.03,-0.02
111,697,"blake-wagner",-0.22,-0.13,-0.08,-0.04,-0.02,-0.01
659,722,"michael-boxall",-0.17,-0.11,-0.07,-0.04,-0.03,-0.01
442,846,"nick-zimmerman",-0.21,-0.13,-0.08,-0.05,-0.03,-0.01
259,46,"julius-james",-0.05,-0.06,-0.06,-0.05,-0.03,-0.02
134,324,"arturo-alvarez",-0.12,-0.1,-0.07,-0.05,-0.03,-0.02
38,432,"michael-harrington",-0.22,-0.14,-0.08,-0.05,-0.03,-0.02
392,222,"cameron-weaver",-0.17,-0.12,-0.08,-0.05,-0.03,-0.01
501,717,"robert-tyrel-harden",-0.11,-0.09,-0.07,-0.05,-0.03,-0.02
701,795,"chris-korb",-0.26,-0.16,-0.09,-0.05,-0.03,-0.01
326,436,"mike-petke",-0.21,-0.14,-0.08,-0.05,-0.03,-0.02
170,132,"ryan-cochrane",-0.19,-0.13,-0.08,-0.05,-0.03,-0.02
535,258,"zack-schilawski",-0.19,-0.13,-0.08,-0.05,-0.03,-0.02
590,328,"joseph-ngwenya",-0.28,-0.17,-0.1,-0.05,-0.03,-0.01
367,745,"jeremy-hall",-0.11,-0.09,-0.07,-0.05,-0.03,-0.02
